hb, dsr, seed, mw, mh, w, h, wl, t
200, 0.15, 40, 449, 449, 449, 448, 378647, 144.27
200, 0.1, 40, 439, 439, 439, 439, 387853, 141.05
300, 0.15, 40, 560, 560, 560, 559, 512379, 333.92
300, 0.1, 40, 548, 548, 548, 548, 539755, 310.89
100, 0.15, 41, 454, 454, 453, 453, 206278, 31.13
100, 0.1, 41, 444, 444, 444, 444, 216964, 32.08
200, 0.15, 41, 449, 449, 449, 449, 374481, 140.51
200, 0.1, 41, 439, 439, 439, 439, 388735, 143.37
300, 0.15, 41, 560, 560, 560, 557, 511247, 323.89
300, 0.1, 41, 548, 548, 548, 548, 535980, 331.78
100, 0.15, 42, 454, 454, 453, 454, 206190, 32.6
100, 0.1, 42, 444, 444, 443, 444, 209466, 30.07
200, 0.15, 42, 449, 449, 449, 449, 381058, 135.72
200, 0.1, 42, 439, 439, 439, 439, 386560, 139.24
300, 0.15, 42, 560, 560, 560, 559, 514228, 327.88
300, 0.1, 42, 548, 548, 548, 548, 552786, 316.77
100, 0.15, 43, 454, 454, 454, 452, 207793, 32.18
100, 0.1, 43, 444, 444, 444, 444, 213845, 31.9
200, 0.15, 43, 449, 449, 449, 448, 380976, 137.52
200, 0.1, 43, 439, 439, 439, 439, 386409, 141.23
300, 0.15, 43, 560, 560, 559, 560, 515715, 333.39
300, 0.1, 43, 548, 548, 548, 548, 548189, 327.25
100, 0.15, 44, 454, 454, 453, 453, 209246, 29.08
100, 0.1, 44, 444, 444, 444, 444, 216472, 31.33
200, 0.15, 44, 449, 449, 448, 448, 381787, 152.1
200, 0.1, 44, 439, 439, 439, 439, 387257, 144.16
300, 0.15, 44, 560, 560, 560, 558, 510022, 322.02
300, 0.1, 44, 548, 548, 548, 548, 544518, 316.85
100, 0.15, 45, 454, 454, 454, 454, 209936, 29.18
100, 0.1, 45, 444, 444, 444, 444, 215177, 30.32
200, 0.15, 45, 449, 449, 448, 447, 380660, 141.1
200, 0.1, 45, 439, 439, 439, 439, 389080, 136.15
300, 0.15, 45, 560, 560, 557, 559, 508871, 338.03
300, 0.1, 45, 548, 548, 548, 548, 542687, 328.5
100, 0.15, 46, 454, 454, 453, 454, 207590, 33.33
100, 0.1, 46, 444, 444, 444, 444, 216259, 31.55
200, 0.15, 46, 449, 449, 449, 447, 375122, 144.79
200, 0.1, 46, 439, 439, 439, 438, 385583, 146.67
300, 0.15, 46, 560, 560, 560, 560, 504731, 349.59
300, 0.1, 46, 548, 548, 548, 548, 543745, 338.79
100, 0.15, 47, 454, 454, 453, 454, 205725, 33.04
100, 0.1, 47, 444, 444, 444, 444, 215315, 35.54
200, 0.15, 47, 449, 449, 449, 449, 377131, 145.43
200, 0.1, 47, 439, 439, 439, 439, 387231, 147.98
300, 0.15, 47, 560, 560, 560, 560, 510485, 344.68
300, 0.1, 47, 548, 548, 548, 548, 542181, 360.58
100, 0.15, 48, 454, 454, 454, 454, 209665, 35.74
100, 0.1, 48, 444, 444, 444, 442, 212436, 34.08
200, 0.15, 48, 449, 449, 448, 449, 377471, 154.39
200, 0.1, 48, 439, 439, 439, 439, 386909, 145.17
300, 0.15, 48, 560, 560, 560, 557, 511914, 336.08
300, 0.1, 48, 548, 548, 548, 548, 539974, 344.52
100, 0.15, 49, 454, 454, 453, 452, 207620, 34.66
100, 0.1, 49, 444, 444, 443, 444, 210805, 30.68
200, 0.15, 49, 449, 449, 448, 448, 375709, 154.45
200, 0.1, 49, 439, 439, 439, 439, 387486, 149.8
300, 0.15, 49, 560, 560, 559, 560, 518128, 344.23
300, 0.1, 49, 548, 548, 548, 548, 543039, 321.41
100, 0.15, 50, 454, 454, 452, 453, 206011, 32.96
100, 0.1, 50, 444, 444, 443, 444, 212056, 31.33
200, 0.15, 50, 449, 449, 449, 449, 380904, 143.73
200, 0.1, 50, 439, 439, 439, 439, 385308, 148.16
300, 0.15, 50, 560, 560, 560, 559, 510945, 330.14
300, 0.1, 50, 548, 548, 548, 548, 548124, 321.23
100, 0.15, 51, 454, 454, 453, 453, 208525, 31.93
100, 0.1, 51, 444, 444, 443, 444, 210831, 31.82
200, 0.15, 51, 449, 449, 449, 446, 379818, 143.55
200, 0.1, 51, 439, 439, 439, 439, 389460, 143.44
300, 0.15, 51, 560, 560, 560, 559, 509466, 331.98
300, 0.1, 51, 548, 548, 548, 548, 536888, 318.81
100, 0.15, 52, 454, 454, 454, 453, 206094, 31.21
100, 0.1, 52, 444, 444, 444, 441, 214746, 32.39
200, 0.15, 52, 449, 449, 449, 449, 377712, 150.06
200, 0.1, 52, 439, 439, 439, 439, 390527, 143.08
300, 0.15, 52, 560, 560, 559, 558, 510521, 322.47
300, 0.1, 52, 548, 548, 548, 548, 546717, 323.84
100, 0.15, 53, 454, 454, 454, 454, 208520, 30.97
100, 0.1, 53, 444, 444, 444, 444, 216552, 29.97
200, 0.15, 53, 449, 449, 449, 448, 380083, 139.46
200, 0.1, 53, 439, 439, 439, 439, 386507, 147.8
300, 0.15, 53, 560, 560, 559, 559, 507571, 331.85
300, 0.1, 53, 548, 548, 548, 548, 552176, 330.17
100, 0.15, 54, 454, 454, 454, 453, 205588, 30.49
100, 0.1, 54, 444, 444, 444, 444, 215177, 31.45
200, 0.15, 54, 449, 449, 449, 448, 379832, 146.9
200, 0.1, 54, 439, 439, 439, 439, 388545, 147.97
300, 0.15, 54, 560, 560, 559, 559, 506575, 334.33
300, 0.1, 54, 548, 548, 548, 548, 546261, 316.91
100, 0.15, 55, 454, 454, 454, 454, 208487, 32.22
100, 0.1, 55, 444, 444, 443, 444, 219354, 32.37
200, 0.15, 55, 449, 449, 448, 449, 376067, 134.93
200, 0.1, 55, 439, 439, 439, 439, 388429, 145.88
300, 0.15, 55, 560, 560, 560, 559, 512455, 326.72
300, 0.1, 55, 548, 548, 548, 548, 544565, 342.6
100, 0.15, 56, 454, 454, 452, 450, 209429, 30.31
100, 0.1, 56, 444, 444, 444, 444, 211453, 31.86
200, 0.15, 56, 449, 449, 449, 447, 374054, 144.99
200, 0.1, 56, 439, 439, 439, 439, 385799, 141.88
300, 0.15, 56, 560, 560, 560, 557, 508772, 347.33
300, 0.1, 56, 548, 548, 548, 548, 550572, 327.04
100, 0.15, 57, 454, 454, 453, 454, 210326, 33.84
100, 0.1, 57, 444, 444, 444, 444, 212553, 31.5
200, 0.15, 57, 449, 449, 449, 448, 381626, 140.37
200, 0.1, 57, 439, 439, 439, 439, 396113, 138.84
300, 0.15, 57, 560, 560, 559, 560, 506403, 330.06
